op_name,dtype,M,K,N,time_ms,flops,bytes
matmul,bfloat16,32768,8192,1024,7.497247,549755813888,620756992
matmul,bfloat16,32768,8192,512,4.017020,274877906944,578813952
matmul,bfloat16,32768,4096,8192,29.212350,2199023255552,872415232
matmul,bfloat16,32768,4096,4096,14.630140,1099511627776,570425344
matmul,bfloat16,32768,4096,2048,7.326608,549755813888,419430400
matmul,bfloat16,32768,4096,1024,3.800722,274877906944,343932928
matmul,bfloat16,32768,4096,512,2.047772,137438953472,306184192
matmul,bfloat16,32768,2048,8192,14.940567,1099511627776,704643072
matmul,bfloat16,32768,2048,4096,7.533354,549755813888,419430400
matmul,bfloat16,32768,2048,2048,3.759390,274877906944,276824064
matmul,bfloat16,32768,2048,1024,1.951472,137438953472,205520896
matmul,bfloat16,32768,2048,512,1.079028,68719476736,169869312
matmul,bfloat16,32768,1024,8192,7.818682,549755813888,620756992
matmul,bfloat16,32768,1024,4096,3.966284,274877906944,343932928
matmul,bfloat16,32768,1024,2048,1.970818,137438953472,205520896
matmul,bfloat16,32768,1024,1024,1.037740,68719476736,136314880
matmul,bfloat16,32768,1024,512,0.540920,34359738368,101711872
matmul,bfloat16,32768,512,8192,4.154721,274877906944,578813952
matmul,bfloat16,32768,512,4096,2.093228,137438953472,306184192
matmul,bfloat16,32768,512,2048,1.073692,68719476736,169869312
matmul,bfloat16,32768,512,1024,0.582596,34359738368,101711872
matmul,bfloat16,32768,512,512,0.293603,17179869184,67633152
matmul,bfloat16,16384,8192,8192,29.386391,2199023255552,671088640
matmul,bfloat16,16384,8192,4096,14.733854,1099511627776,469762048
matmul,bfloat16,16384,8192,2048,7.621489,549755813888,369098752
matmul,bfloat16,16384,8192,1024,4.123063,274877906944,318767104
matmul,bfloat16,16384,8192,512,2.046383,137438953472,293601280
matmul,bfloat16,16384,4096,8192,14.973203,1099511627776,469762048
matmul,bfloat16,16384,4096,4096,7.486449,549755813888,301989888
matmul,bfloat16,16384,4096,2048,3.869771,274877906944,218103808
matmul,bfloat16,16384,4096,1024,2.034956,137438953472,176160768
matmul,bfloat16,16384,4096,512,1.199671,68719476736,155189248
matmul,bfloat16,16384,2048,8192,7.604992,549755813888,369098752
matmul,bfloat16,16384,2048,4096,3.820071,274877906944,218103808
matmul,bfloat16,16384,2048,2048,1.984219,137438953472,142606336
matmul,bfloat16,16384,2048,1024,1.030722,68719476736,104857600
matmul,bfloat16,16384,2048,512,0.625194,34359738368,85983232
matmul,bfloat16,16384,1024,8192,3.961271,274877906944,318767104
matmul,bfloat16,16384,1024,4096,2.022269,137438953472,176160768
matmul,bfloat16,16384,1024,2048,1.055331,68719476736,104857600
matmul,bfloat16,16384,1024,1024,0.533564,34359738368,69206016
matmul,bfloat16,16384,1024,512,0.293207,17179869184,51380224
matmul,bfloat16,16384,512,8192,2.123311,137438953472,293601280
matmul,bfloat16,16384,512,4096,1.080034,68719476736,155189248
matmul,bfloat16,16384,512,2048,0.594498,34359738368,85983232
matmul,bfloat16,16384,512,1024,0.288848,17179869184,51380224
matmul,bfloat16,16384,512,512,0.177543,8589934592,34078720
matmul,bfloat16,8192,8192,8192,16.051299,1099511627776,402653184
matmul,bfloat16,8192,8192,4096,8.066056,549755813888,268435456
matmul,bfloat16,8192,8192,2048,3.914337,274877906944,201326592
matmul,bfloat16,8192,8192,1024,2.025299,137438953472,167772160
matmul,bfloat16,8192,8192,512,1.077893,68719476736,150994944
matmul,bfloat16,8192,4096,8192,7.471845,549755813888,268435456
matmul,bfloat16,8192,4096,4096,4.035671,274877906944,167772160
matmul,bfloat16,8192,4096,2048,2.074089,137438953472,117440512
matmul,bfloat16,8192,4096,1024,1.041509,68719476736,92274688
matmul,bfloat16,8192,4096,512,0.565025,34359738368,79691776
matmul,bfloat16,8192,2048,8192,3.829471,274877906944,201326592
matmul,bfloat16,8192,2048,4096,2.011083,137438953472,117440512
matmul,bfloat16,8192,2048,2048,1.072824,68719476736,75497472
matmul,bfloat16,8192,2048,1024,0.554604,34359738368,54525952
matmul,bfloat16,8192,2048,512,0.306272,17179869184,44040192
matmul,bfloat16,8192,1024,8192,2.021044,137438953472,167772160
matmul,bfloat16,8192,1024,4096,1.025350,68719476736,92274688
matmul,bfloat16,8192,1024,2048,0.560994,34359738368,54525952
matmul,bfloat16,8192,1024,1024,0.295758,17179869184,35651584
matmul,bfloat16,8192,1024,512,0.171454,8589934592,26214400
matmul,bfloat16,8192,512,8192,1.076054,68719476736,150994944
matmul,bfloat16,8192,512,4096,0.574018,34359738368,79691776
matmul,bfloat16,8192,512,2048,0.321076,17179869184,44040192
matmul,bfloat16,8192,512,1024,0.161918,8589934592,26214400
matmul,bfloat16,8192,512,512,0.098596,4294967296,17301504
matmul,bfloat16,4096,8192,8192,8.033536,549755813888,268435456
