op_name,dtype,operator,N,time_ms,bytes
cudagraph_elem,float16,residual_add,268435456,2.340429,1073741824
cudagraph_elem,float16,residual_add,134217728,1.173813,536870912
cudagraph_elem,float16,residual_add,67108864,0.590390,268435456
cudagraph_elem,float16,residual_add,33554432,0.298497,134217728
cudagraph_elem,float16,residual_add,16777216,0.152782,67108864
cudagraph_elem,float16,residual_add,8388608,0.079715,33554432
cudagraph_elem,float16,residual_add,4194304,0.043764,16777216
cudagraph_elem,float16,residual_add,2097152,0.022947,8388608
cudagraph_elem,float16,residual_add,1048576,0.015861,4194304
cudagraph_elem,float16,residual_add,524288,0.015790,2097152
cudagraph_elem,float16,residual_add,262144,0.015892,1048576
cudagraph_elem,float16,residual_add,131072,0.015982,524288
cudagraph_elem,float16,residual_add,65536,0.015756,262144
cudagraph_elem,float16,residual_add,32768,0.015956,131072
cudagraph_elem,float16,residual_add,16384,0.015900,65536
cudagraph_elem,float16,residual_add,8192,0.015719,32768
cudagraph_elem,float16,residual_add,4096,0.015922,16384
cudagraph_elem,float16,residual_add,2048,0.015850,8192
cudagraph_elem,float16,residual_add,1024,0.015785,4096
cudagraph_elem,float16,rmsnorm,268435456,5.837506,1073741824
cudagraph_elem,float16,rmsnorm,134217728,2.932515,536870912
cudagraph_elem,float16,rmsnorm,67108864,1.478608,268435456
cudagraph_elem,float16,rmsnorm,33554432,0.748217,134217728
cudagraph_elem,float16,rmsnorm,16777216,0.385975,67108864
cudagraph_elem,float16,rmsnorm,8388608,0.197807,33554432
cudagraph_elem,float16,rmsnorm,4194304,0.104978,16777216
cudagraph_elem,float16,rmsnorm,2097152,0.048710,8388608
cudagraph_elem,float16,rmsnorm,1048576,0.026018,4194304
cudagraph_elem,float16,rmsnorm,524288,0.021681,2097152
cudagraph_elem,float16,rmsnorm,262144,0.018860,1048576
cudagraph_elem,float16,rmsnorm,131072,0.018232,524288
cudagraph_elem,float16,rmsnorm,65536,0.017763,262144
cudagraph_elem,float16,rmsnorm,32768,0.016529,131072
cudagraph_elem,float16,rmsnorm,16384,0.016299,65536
cudagraph_elem,float16,rmsnorm,8192,0.016283,32768
cudagraph_elem,float16,rmsnorm,4096,0.016315,16384
cudagraph_elem,float16,rmsnorm,2048,0.016426,8192
cudagraph_elem,float16,rmsnorm,1024,0.016504,4096
cudagraph_elem,float16,swiglu,268435456,3.907514,1073741824
cudagraph_elem,float16,swiglu,134217728,1.959861,536870912
cudagraph_elem,float16,swiglu,67108864,0.990321,268435456
cudagraph_elem,float16,swiglu,33554432,0.497325,134217728
cudagraph_elem,float16,swiglu,16777216,0.254703,67108864
cudagraph_elem,float16,swiglu,8388608,0.131492,33554432
cudagraph_elem,float16,swiglu,4194304,0.070500,16777216
