op_name,dtype,M,K,N,time_ms,flops,bytes
cudagraph_matmul,float16,1024,2048,1024,0.093194,4294967296,10485760
cudagraph_matmul,float16,1024,2048,512,0.051164,2147483648,7340032
cudagraph_matmul,float16,1024,1024,8192,0.406253,17179869184,35651584
cudagraph_matmul,float16,1024,1024,4096,0.231153,8589934592,18874368
cudagraph_matmul,float16,1024,1024,2048,0.092055,4294967296,10485760
cudagraph_matmul,float16,1024,1024,1024,0.062723,2147483648,6291456
cudagraph_matmul,float16,1024,1024,512,0.029846,1073741824,4194304
cudagraph_matmul,float16,1024,512,8192,0.215966,8589934592,26214400
cudagraph_matmul,float16,1024,512,4096,0.099444,4294967296,13631488
cudagraph_matmul,float16,1024,512,2048,0.052527,2147483648,7340032
cudagraph_matmul,float16,1024,512,1024,0.030468,1073741824,4194304
cudagraph_matmul,float16,1024,512,512,0.018806,536870912,2621440
cudagraph_matmul,float16,512,8192,8192,1.444650,68719476736,150994944
cudagraph_matmul,float16,512,8192,4096,0.658910,34359738368,79691776
cudagraph_matmul,float16,512,8192,2048,0.333220,17179869184,44040192
cudagraph_matmul,float16,512,8192,1024,0.184926,8589934592,26214400
cudagraph_matmul,float16,512,8192,512,0.112469,4294967296,17301504
cudagraph_matmul,float16,512,4096,8192,0.672236,34359738368,79691776
cudagraph_matmul,float16,512,4096,4096,0.339152,17179869184,41943040
cudagraph_matmul,float16,512,4096,2048,0.175031,8589934592,23068672
cudagraph_matmul,float16,512,4096,1024,0.097554,4294967296,13631488
cudagraph_matmul,float16,512,4096,512,0.054274,2147483648,8912896
cudagraph_matmul,float16,512,2048,8192,0.343582,17179869184,44040192
cudagraph_matmul,float16,512,2048,4096,0.174602,8589934592,23068672
cudagraph_matmul,float16,512,2048,2048,0.091195,4294967296,12582912
cudagraph_matmul,float16,512,2048,1024,0.050889,2147483648,7340032
cudagraph_matmul,float16,512,2048,512,0.047973,1073741824,4718592
cudagraph_matmul,float16,512,1024,8192,0.176084,8589934592,26214400
cudagraph_matmul,float16,512,1024,4096,0.092264,4294967296,13631488
cudagraph_matmul,float16,512,1024,2048,0.049487,2147483648,7340032
cudagraph_matmul,float16,512,1024,1024,0.030063,1073741824,4194304
cudagraph_matmul,float16,512,1024,512,0.027492,536870912,2621440
cudagraph_matmul,float16,512,512,8192,0.111027,4294967296,17301504
cudagraph_matmul,float16,512,512,4096,0.051849,2147483648,8912896
cudagraph_matmul,float16,512,512,2048,0.029589,1073741824,4718592
cudagraph_matmul,float16,512,512,1024,0.019438,536870912,2621440
cudagraph_matmul,float16,512,512,512,0.018208,268435456,1572864
cudagraph_matmul,float16,256,8192,8192,0.632228,34359738368,142606336
cudagraph_matmul,float16,256,8192,4096,0.378526,17179869184,73400320
cudagraph_matmul,float16,256,8192,2048,0.187941,8589934592,38797312
cudagraph_matmul,float16,256,8192,1024,0.111289,4294967296,21495808
cudagraph_matmul,float16,256,8192,512,0.053188,2147483648,12845056
cudagraph_matmul,float16,256,4096,8192,0.339974,17179869184,73400320
cudagraph_matmul,float16,256,4096,4096,0.216805,8589934592,37748736
cudagraph_matmul,float16,256,4096,2048,0.094932,4294967296,19922944
cudagraph_matmul,float16,256,4096,1024,0.066117,2147483648,11010048
cudagraph_matmul,float16,256,4096,512,0.032154,1073741824,6553600
cudagraph_matmul,float16,256,2048,8192,0.172651,8589934592,38797312
cudagraph_matmul,float16,256,2048,4096,0.122441,4294967296,19922944
cudagraph_matmul,float16,256,2048,2048,0.054741,2147483648,10485760
cudagraph_matmul,float16,256,2048,1024,0.031214,1073741824,5767168
cudagraph_matmul,float16,256,2048,512,0.028252,536870912,3407872
cudagraph_matmul,float16,256,1024,8192,0.090334,4294967296,21495808
cudagraph_matmul,float16,256,1024,4096,0.055354,2147483648,11010048
cudagraph_matmul,float16,256,1024,2048,0.030242,1073741824,5767168
cudagraph_matmul,float16,256,1024,1024,0.019805,536870912,3145728
cudagraph_matmul,float16,256,1024,512,0.016614,268435456,1835008
cudagraph_matmul,float16,256,512,8192,0.050346,2147483648,12845056
cudagraph_matmul,float16,256,512,4096,0.030576,1073741824,6553600
cudagraph_matmul,float16,256,512,2048,0.019203,536870912,3407872
cudagraph_matmul,float16,256,512,1024,0.016318,268435456,1835008
cudagraph_matmul,float16,256,512,512,0.016380,134217728,1048576
cudagraph_matmul,float16,128,8192,8192,0.308323,17179869184,138412032
cudagraph_matmul,float16,128,8192,4096,0.170958,8589934592,70254592
cudagraph_matmul,float16,128,8192,2048,0.119439,4294967296,36175872
cudagraph_matmul,float16,128,8192,1024,0.087738,2147483648,19136512
cudagraph_matmul,float16,128,8192,512,0.032399,1073741824,10616832
cudagraph_matmul,float16,128,4096,8192,0.171313,8589934592,70254592
cudagraph_matmul,float16,128,4096,4096,0.092885,4294967296,35651584
cudagraph_matmul,float16,128,4096,2048,0.068687,2147483648,18350080
cudagraph_matmul,float16,128,4096,1024,0.049956,1073741824,9699328
cudagraph_matmul,float16,128,4096,512,0.021555,536870912,5373952
cudagraph_matmul,float16,128,2048,8192,0.090464,4294967296,36175872
cudagraph_matmul,float16,128,2048,4096,0.050553,2147483648,18350080
cudagraph_matmul,float16,128,2048,2048,0.041438,1073741824,9437184
cudagraph_matmul,float16,128,2048,1024,0.021622,536870912,4980736
cudagraph_matmul,float16,128,2048,512,0.016390,268435456,2752512
cudagraph_matmul,float16,128,1024,8192,0.048350,2147483648,19136512
cudagraph_matmul,float16,128,1024,4096,0.029596,1073741824,9699328
cudagraph_matmul,float16,128,1024,2048,0.019325,536870912,4980736
cudagraph_matmul,float16,128,1024,1024,0.017637,268435456,2621440
cudagraph_matmul,float16,128,1024,512,0.015748,134217728,1441792
cudagraph_matmul,float16,128,512,8192,0.029347,1073741824,10616832
cudagraph_matmul,float16,128,512,4096,0.018915,536870912,5373952
cudagraph_matmul,float16,128,512,2048,0.016420,268435456,2752512
cudagraph_matmul,float16,128,512,1024,0.016442,134217728,1441792
cudagraph_matmul,float16,128,512,512,0.015868,67108864,786432
cudagraph_matmul,float16,64,8192,8192,0.200014,8589934592,136314880
cudagraph_matmul,float16,64,8192,4096,0.106385,4294967296,68681728
cudagraph_matmul,float16,64,8192,2048,0.060617,2147483648,34865152
cudagraph_matmul,float16,64,8192,1024,0.039979,1073741824,17956864
cudagraph_matmul,float16,64,8192,512,0.030833,536870912,9502720
cudagraph_matmul,float16,64,4096,8192,0.106451,4294967296,68681728
cudagraph_matmul,float16,64,4096,4096,0.058794,2147483648,34603008
cudagraph_matmul,float16,64,4096,2048,0.036659,1073741824,17563648
cudagraph_matmul,float16,64,4096,1024,0.027011,536870912,9043968
cudagraph_matmul,float16,64,4096,512,0.020513,268435456,4784128
cudagraph_matmul,float16,64,2048,8192,0.059130,2147483648,34865152
cudagraph_matmul,float16,64,2048,4096,0.034466,1073741824,17563648
cudagraph_matmul,float16,64,2048,2048,0.028481,536870912,8912896
cudagraph_matmul,float16,64,2048,1024,0.016546,268435456,4587520
cudagraph_matmul,float16,64,2048,512,0.016318,134217728,2424832
cudagraph_matmul,float16,64,1024,8192,0.035386,1073741824,17956864
cudagraph_matmul,float16,64,1024,4096,0.022780,536870912,9043968
cudagraph_matmul,float16,64,1024,2048,0.025632,268435456,4587520
cudagraph_matmul,float16,64,1024,1024,0.015842,134217728,2359296
cudagraph_matmul,float16,64,1024,512,0.015697,67108864,1245184
cudagraph_matmul,float16,64,512,8192,0.025074,536870912,9502720
cudagraph_matmul,float16,64,512,4096,0.016362,268435456,4784128
cudagraph_matmul,float16,64,512,2048,0.016269,134217728,2424832
cudagraph_matmul,float16,64,512,1024,0.015946,67108864,1245184
cudagraph_matmul,float16,64,512,512,0.015749,33554432,655360
cudagraph_matmul,float16,32,8192,8192,0.197321,4294967296,135266304
cudagraph_matmul,float16,32,8192,4096,0.104289,2147483648,67895296
cudagraph_matmul,float16,32,8192,2048,0.061664,1073741824,34209792
cudagraph_matmul,float16,32,8192,1024,0.036029,536870912,17367040
cudagraph_matmul,float16,32,8192,512,0.025493,268435456,8945664
cudagraph_matmul,float16,32,4096,8192,0.104773,2147483648,67895296
cudagraph_matmul,float16,32,4096,4096,0.057083,1073741824,34078720
cudagraph_matmul,float16,32,4096,2048,0.037987,536870912,17170432
cudagraph_matmul,float16,32,4096,1024,0.024631,268435456,8716288
cudagraph_matmul,float16,32,4096,512,0.016310,134217728,4489216
cudagraph_matmul,float16,32,2048,8192,0.057708,1073741824,34209792
cudagraph_matmul,float16,32,2048,4096,0.033840,536870912,17170432
cudagraph_matmul,float16,32,2048,2048,0.027005,268435456,8650752
cudagraph_matmul,float16,32,2048,1024,0.016263,134217728,4390912
cudagraph_matmul,float16,32,2048,512,0.016369,67108864,2260992
cudagraph_matmul,float16,32,1024,8192,0.034426,536870912,17367040
cudagraph_matmul,float16,32,1024,4096,0.022192,268435456,8716288
cudagraph_matmul,float16,32,1024,2048,0.018100,134217728,4390912
cudagraph_matmul,float16,32,1024,1024,0.016014,67108864,2228224
cudagraph_matmul,float16,32,1024,512,0.015779,33554432,1146880
cudagraph_matmul,float16,32,512,8192,0.024433,268435456,8945664
cudagraph_matmul,float16,32,512,4096,0.016104,134217728,4489216
cudagraph_matmul,float16,32,512,2048,0.015800,67108864,2260992
cudagraph_matmul,float16,32,512,1024,0.015877,33554432,1146880
cudagraph_matmul,float16,32,512,512,0.015880,16777216,589824
cudagraph_matmul,float16,16,8192,8192,0.197531,2147483648,134742016
cudagraph_matmul,float16,16,8192,4096,0.104190,1073741824,67502080
cudagraph_matmul,float16,16,8192,2048,0.061926,536870912,33882112
cudagraph_matmul,float16,16,8192,1024,0.036351,268435456,17072128
cudagraph_matmul,float16,16,8192,512,0.024721,134217728,8667136
cudagraph_matmul,float16,16,4096,8192,0.103979,1073741824,67502080
cudagraph_matmul,float16,16,4096,4096,0.057561,536870912,33816576
cudagraph_matmul,float16,16,4096,2048,0.044980,268435456,16973824
cudagraph_matmul,float16,16,4096,1024,0.023503,134217728,8552448
cudagraph_matmul,float16,16,4096,512,0.016734,67108864,4341760
cudagraph_matmul,float16,16,2048,8192,0.057937,536870912,33882112
cudagraph_matmul,float16,16,2048,4096,0.033587,268435456,16973824
cudagraph_matmul,float16,16,2048,2048,0.027151,134217728,8519680
cudagraph_matmul,float16,16,2048,1024,0.016348,67108864,4292608
cudagraph_matmul,float16,16,2048,512,0.016490,33554432,2179072
cudagraph_matmul,float16,16,1024,8192,0.033926,268435456,17072128
cudagraph_matmul,float16,16,1024,4096,0.022103,134217728,8552448
cudagraph_matmul,float16,16,1024,2048,0.017688,67108864,4292608
cudagraph_matmul,float16,16,1024,1024,0.015982,33554432,2162688
cudagraph_matmul,float16,16,1024,512,0.015964,16777216,1097728
cudagraph_matmul,float16,16,512,8192,0.022701,134217728,8667136
cudagraph_matmul,float16,16,512,4096,0.018059,67108864,4341760
cudagraph_matmul,float16,16,512,2048,0.015776,33554432,2179072
cudagraph_matmul,float16,16,512,1024,0.015940,16777216,1097728
cudagraph_matmul,float16,16,512,512,0.015886,8388608,557056
cudagraph_matmul,float16,8,8192,8192,0.196088,1073741824,134479872
cudagraph_matmul,float16,8,8192,4096,0.103866,536870912,67305472
cudagraph_matmul,float16,8,8192,2048,0.061839,268435456,33718272
cudagraph_matmul,float16,8,8192,1024,0.035326,134217728,16924672
cudagraph_matmul,float16,8,8192,512,0.024484,67108864,8527872
cudagraph_matmul,float16,8,4096,8192,0.103958,536870912,67305472
cudagraph_matmul,float16,8,4096,4096,0.057105,268435456,33685504
cudagraph_matmul,float16,8,4096,2048,0.044969,134217728,16875520
cudagraph_matmul,float16,8,4096,1024,0.020382,67108864,8470528
cudagraph_matmul,float16,8,4096,512,0.016727,33554432,4268032
cudagraph_matmul,float16,8,2048,8192,0.057059,268435456,33718272
cudagraph_matmul,float16,8,2048,4096,0.033365,134217728,16875520
cudagraph_matmul,float16,8,2048,2048,0.027096,67108864,8454144
cudagraph_matmul,float16,8,2048,1024,0.016304,33554432,4243456
cudagraph_matmul,float16,8,2048,512,0.016467,16777216,2138112
cudagraph_matmul,float16,8,1024,8192,0.033896,134217728,16924672
cudagraph_matmul,float16,8,1024,4096,0.022133,67108864,8470528
cudagraph_matmul,float16,8,1024,2048,0.017427,33554432,4243456
cudagraph_matmul,float16,8,1024,1024,0.015996,16777216,2129920
cudagraph_matmul,float16,8,1024,512,0.015745,8388608,1073152
cudagraph_matmul,float16,8,512,8192,0.022573,67108864,8527872
cudagraph_matmul,float16,8,512,4096,0.015780,33554432,4268032
cudagraph_matmul,float16,8,512,2048,0.015939,16777216,2138112
